temp,hum,pres,alt,ax,ay,az,gx,gy,gz,t
26.719999313354492,44.2529296875,1026.466552734375,19.028669357299805,56,52,16336,-4,-1,-9,1271410
26.729999542236328,44.2080078125,1026.4527587890625,19.142011642456055,36,-20,16452,1,18,-12,1271554
26.729999542236328,44.2080078125,1026.4527587890625,19.142011642456055,76,-20,16196,21,-15,-18,1271569
26.729999542236328,44.2080078125,1026.4527587890625,19.142011642456055,144,12,16304,11,3,7,1271582
26.729999542236328,44.2080078125,1026.4527587890625,19.142011642456055,-48,12,16336,6,10,19,1271596
26.729999542236328,44.2080078125,1026.4527587890625,19.142011642456055,80,60,16488,13,10,16,1271609
26.729999542236328,44.2080078125,1026.4527587890625,19.08206558227539,-20,52,16352,21,6,-34,1271623
26.729999542236328,44.2080078125,1026.4600830078125,19.08206558227539,-56,36,16404,-13,-7,-4,1271636
26.729999542236328,44.2080078125,1026.4600830078125,19.08206558227539,-56,-8,16468,-10,19,-5,1271649
26.729999542236328,44.2080078125,1026.4600830078125,19.08206558227539,12,-12,16324,5,17,30,1271663
26.729999542236328,44.2080078125,1026.4600830078125,19.08206558227539,92,-84,16352,14,7,-16,1271676
26.729999542236328,44.2080078125,1026.4600830078125,19.08206558227539,56,-20,16248,-1,7,-9,1271690
26.729999542236328,44.2080078125,1026.4600830078125,19.08206558227539,52,96,16360,-7,-11,0,1271711
26.729999542236328,44.119140625,1026.451904296875,19.149065017700195,-32,4,16380,-1,-6,-12,1271724
26.729999542236328,44.119140625,1026.451904296875,19.149065017700195,80,64,16320,1,1,8,1271738
26.729999542236328,44.119140625,1026.451904296875,19.149065017700195,56,-44,16396,8,11,18,1271751
26.729999542236328,44.119140625,1026.451904296875,19.149065017700195,8,24,16408,-6,-20,10,1271765
26.729999542236328,44.119140625,1026.451904296875,19.149065017700195,0,44,16352,0,-3,5,1271778
26.729999542236328,44.119140625,1026.451904296875,19.149065017700195,60,48,16444,-7,-7,-7,1271792
26.729999542236328,44.119140625,1026.451904296875,19.149065017700195,96,40,16460,-7,-9,-4,1271805
